#{"t_start": 1680587897.9268234, "env_id": "AirRaidNoFrameskip-v4"}
r,l,t
1650.0,950,54.292326
1875.0,1203,119.789715
1300.0,833,169.351025
1675.0,1182,235.275429
2400.0,1667,330.07252
2900.0,1539,418.196807
2325.0,1414,499.189703
1425.0,891,550.630371
450.0,331,571.816027
1450.0,822,616.936433
1750.0,787,661.573879
900.0,865,712.677421
600.0,349,734.162378
900.0,484,759.196526
1825.0,1251,832.504134
2575.0,1582,921.850082
725.0,543,957.066778
450.0,465,980.612545
725.0,310,1001.504196
1225.0,789,1046.111606
750.0,534,1076.111037
2375.0,1270,1149.840453
775.0,393,1172.132273
950.0,528,1201.928154
675.0,411,1224.553365
3925.0,1974,1341.586131
775.0,449,1364.707973
1900.0,1338,1444.649216
800.0,521,1474.18241
500.0,404,1497.918445
700.0,340,1514.00959
2750.0,1476,1601.382789
1850.0,1419,1682.509436
225.0,248,1697.126363
1700.0,1074,1756.860587
725.0,605,1793.012224
1975.0,1351,1873.00891
1675.0,1029,1931.947335
2425.0,1201,1999.084976
1525.0,804,2043.902629
225.0,161,2051.835223
1275.0,696,2094.746456
675.0,313,2110.456657
2475.0,1533,2198.805001
675.0,308,2220.854425
975.0,372,2242.76395
1875.0,1073,2302.60557
275.0,247,2317.138186
1325.0,764,2361.291821
575.0,382,2383.368234
900.0,640,2420.259258
2475.0,1314,2494.449249
825.0,547,2524.524458
425.0,454,2553.035821
350.0,330,2568.984032
775.0,518,2598.490531
975.0,748,2642.370182
400.0,320,2663.40871
1900.0,1251,2731.562202
325.0,359,2753.291856
3450.0,1672,2849.407723
675.0,540,2879.438843
2300.0,1356,2960.851101
4950.0,2547,3108.205876
950.0,611,3144.643389
1625.0,870,3190.755836
1400.0,816,3240.967186
275.0,231,3255.310785
6125.0,3372,3447.994937
700.0,521,3477.654046
1975.0,1105,3543.340852
2925.0,1468,3625.722317
350.0,310,3641.442063
3800.0,2252,3774.849296
975.0,783,3819.391685
1650.0,963,3877.489213
550.0,434,3900.497732
1575.0,860,3951.587682
425.0,354,3967.965992
950.0,453,3996.45939
975.0,919,4048.528256
4250.0,2302,4181.454297
1300.0,844,4232.331162
400.0,239,4246.83529
1875.0,904,4298.928538
425.0,271,4314.044176
4650.0,2467,4456.927069
2700.0,1797,4560.872259
2125.0,1285,4635.191513
1450.0,918,4687.488533
250.0,191,4701.149654
1775.0,1002,4754.929848
2500.0,1465,4842.727236
1525.0,1018,4901.898474
825.0,546,4932.135182
600.0,311,4953.092065
2575.0,1440,5035.136183
2750.0,1508,5123.54419
1450.0,762,5162.628227
1875.0,976,5222.08719
1425.0,919,5274.283489
550.0,425,5302.352033
1600.0,1017,5356.209797
125.0,203,5370.079454
725.0,429,5393.076812
4025.0,2028,5511.046225
825.0,540,5540.975709
325.0,225,5555.146303
1425.0,737,5598.866322
1825.0,1262,5672.222141
3225.0,1582,5761.43355
2375.0,1475,5848.646147
800.0,447,5871.806948
2875.0,1484,5960.492782
600.0,295,5975.930799
800.0,524,6005.570214
2075.0,1215,6072.963379
950.0,652,6115.219038
2675.0,1614,6205.107285
750.0,512,6234.592447
475.0,409,6257.105153
925.0,564,6292.68017
900.0,490,6321.827701
2775.0,1397,6397.611004
700.0,460,6426.204471
350.0,342,6447.62158
1250.0,685,6485.262202
3275.0,1813,6588.730815
3325.0,1890,6700.117803
500.0,308,6715.775216
650.0,432,6743.908691
1450.0,796,6788.596575
275.0,346,6810.089662
625.0,545,6840.158377
950.0,567,6870.669289
550.0,302,6891.402864
950.0,823,6936.619853
825.0,553,6966.822693
775.0,477,6995.786523
200.0,334,7017.116159
1825.0,1040,7076.488292
500.0,359,7092.968683
525.0,317,7113.954354
1775.0,1040,7173.420052
3475.0,2098,7292.474921
1325.0,763,7336.751256
100.0,283,7357.159042
575.0,453,7380.505228
600.0,502,7411.049612
975.0,590,7447.115308
2725.0,1752,7544.710413
2825.0,1538,7633.369819
1750.0,1212,7706.002321
925.0,577,7736.697431
900.0,569,7772.382325
675.0,367,7789.108282
775.0,446,7817.553215
250.0,196,7826.113188
150.0,218,7840.226994
2100.0,1072,7900.083089
275.0,304,7920.842407
1850.0,1000,7979.566792
750.0,559,8009.949989
5450.0,2867,8174.942736
975.0,630,8211.782631
950.0,754,8255.921988
325.0,216,8270.037835
1700.0,1087,8330.429905
800.0,406,8353.10949
450.0,349,8374.740887
450.0,361,8396.619477
1175.0,848,8447.92518
800.0,487,8471.982135
525.0,409,8499.882879
1800.0,1292,8574.431833
1325.0,701,8612.648818
100.0,152,8620.503736
675.0,459,8649.317485
800.0,453,8672.789074
