#{"t_start": 1680424589.4773397, "env_id": "CarnivalNoFrameskip-v4"}
r,l,t
540.0,395,45.837234
440.0,359,71.264718
460.0,354,104.630529
1160.0,660,162.283723
320.0,306,194.266212
1240.0,436,230.191681
420.0,296,254.320523
400.0,343,287.236772
540.0,403,322.127839
380.0,320,354.638556
380.0,312,379.151514
0.0,547,425.591728
360.0,326,458.464974
240.0,492,503.56483
400.0,314,528.131264
500.0,440,563.986019
1040.0,450,607.579792
400.0,345,640.912963
380.0,330,665.826706
760.0,477,710.37229
440.0,397,744.8954
40.0,445,780.736366
620.0,348,813.94973
540.0,376,847.930317
340.0,279,871.246352
420.0,328,903.467206
240.0,328,928.079964
500.0,441,971.719617
440.0,290,995.242652
40.0,397,1029.503924
460.0,435,1072.809984
380.0,314,1097.063368
360.0,294,1120.728654
420.0,328,1153.230922
600.0,455,1190.771098
320.0,305,1222.577538
980.0,374,1256.601417
320.0,506,1301.881221
180.0,337,1326.930996
480.0,313,1358.856403
260.0,439,1394.829982
560.0,486,1439.859973
940.0,395,1474.429511
880.0,347,1507.559756
380.0,295,1531.468682
1020.0,407,1566.574662
540.0,483,1611.399757
380.0,350,1636.998715
1200.0,578,1692.158905
440.0,340,1725.038036
1000.0,476,1762.079139
580.0,444,1805.68557
1860.0,466,1842.251377
460.0,283,1873.836617
260.0,342,1899.005695
540.0,444,1942.677311
680.0,342,1967.713657
820.0,534,2021.569699
680.0,402,2056.251998
480.0,278,2079.59608
320.0,331,2104.261224
20.0,674,2169.817585
400.0,508,2215.203103
460.0,431,2250.670934
700.0,328,2275.243639
440.0,311,2308.742099
660.0,431,2344.088141
560.0,351,2377.563442
460.0,342,2410.407564
700.0,748,2470.338554
540.0,414,2513.258358
640.0,349,2538.878239
560.0,408,2581.532109
80.0,391,2616.163882
520.0,378,2650.043108
940.0,471,2686.826092
360.0,324,2719.231365
1000.0,499,2764.540415
560.0,390,2799.017617
1260.0,484,2835.945759
900.0,498,2881.245615
1360.0,510,2927.005747
620.0,339,2960.058335
680.0,485,3005.203247
620.0,377,3039.530061
580.0,364,3065.593791
660.0,290,3097.432219
1100.0,588,3145.504985
460.0,443,3189.585201
500.0,363,3215.751524
1040.0,319,3248.369259
700.0,439,3284.608679
120.0,484,3329.277217
200.0,473,3374.26735
500.0,476,3419.051898
420.0,451,3457.080624
380.0,333,3490.092694
180.0,498,3527.738378
540.0,507,3573.386655
440.0,289,3605.267401
760.0,526,3651.634949
1260.0,450,3687.944916
0.0,415,3723.593039
1100.0,399,3766.122172
740.0,504,3811.730261
860.0,415,3847.162198
480.0,320,3871.915909
380.0,391,3906.388834
400.0,298,3938.007916
760.0,486,3975.520597
880.0,491,4020.79659
1180.0,466,4065.146957
160.0,514,4110.966585
880.0,713,4170.354693
800.0,395,4205.180676
1120.0,566,4260.289565
1080.0,445,4296.372584
920.0,445,4340.454901
980.0,448,4376.797419
800.0,461,4421.258219
400.0,292,4445.36298
700.0,406,4480.592879
1440.0,783,4549.907897
860.0,454,4594.398514
740.0,434,4632.166927
640.0,482,4677.042001
920.0,439,4712.960022
380.0,361,4746.486236
500.0,441,4790.249087
80.0,361,4816.211257
1920.0,487,4861.005867
880.0,390,4895.726946
1780.0,470,4940.47925
500.0,372,4974.401517
220.0,342,4999.837775
1040.0,927,5088.586943
700.0,389,5123.023419
620.0,380,5157.007972
160.0,525,5203.415871
460.0,364,5237.200774
540.0,478,5274.333535
760.0,445,5318.202176
1040.0,448,5354.049617
420.0,292,5385.776781
360.0,363,5411.730691
500.0,373,5445.413632
380.0,432,5488.704433
300.0,345,5514.028632
580.0,449,5557.816105
460.0,376,5591.521079
780.0,429,5627.137417
520.0,403,5661.654365
360.0,377,5695.713097
500.0,372,5729.589802
440.0,377,5765.240911
260.0,360,5798.69752
540.0,365,5832.262506
460.0,433,5868.069623
520.0,440,5903.993805
420.0,377,5938.094735
540.0,377,5972.102067
420.0,285,5995.897177
500.0,349,6029.010333
380.0,349,6062.479979
540.0,327,6087.456157
580.0,446,6131.223505
280.0,312,6155.907688
680.0,345,6189.128658
400.0,388,6223.462779
540.0,436,6259.420831
580.0,393,6294.219594
580.0,307,6326.398903
500.0,420,6362.033338
320.0,312,6386.436857
360.0,431,6430.047725
1020.0,347,6463.370185
100.0,367,6489.701586
680.0,475,6534.502353
840.0,504,6580.054203
900.0,451,6624.235161
380.0,290,6648.125741
720.0,522,6693.953758
640.0,369,6728.071273
580.0,441,6763.97653
480.0,433,6799.625509
600.0,289,6831.203444
1820.0,395,6866.070307
340.0,333,6890.921937
660.0,460,6936.957916
