#{"t_start": 1680587930.0655577, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
30.0,430,28.855766
220.0,2335,170.051061
80.0,489,200.611364
100.0,475,225.75319
205.0,1163,296.237099
175.0,2576,452.98578
110.0,607,491.29015
60.0,413,515.161878
265.0,1249,592.520859
325.0,2694,756.651261
175.0,1343,836.991871
235.0,1153,907.337077
130.0,1139,977.368448
235.0,929,1032.572969
340.0,1132,1102.44334
325.0,1170,1173.197338
140.0,878,1222.227537
175.0,566,1259.663572
130.0,764,1306.388091
325.0,2790,1472.681756
80.0,1584,1572.534253
80.0,6420,1964.877396
520.0,2684,2128.749431
235.0,4324,2390.336054
250.0,1644,2491.364007
175.0,1463,2578.443686
110.0,820,2631.464388
150.0,1279,2704.227597
40.0,254,2719.696077
295.0,1065,2788.121783
160.0,1081,2851.739448
120.0,585,2884.333113
340.0,1770,2993.160855
980.0,2292,3133.483443
220.0,1139,3204.696785
220.0,1767,3313.541556
310.0,2019,3432.726183
420.0,2242,3572.338345
190.0,1217,3643.913044
280.0,1820,3753.968688
280.0,1339,3833.198189
90.0,463,3863.285676
160.0,1422,3950.604861
325.0,1627,4051.269997
160.0,1070,4114.71993
205.0,1037,4177.312855
220.0,1084,4240.730902
140.0,859,4294.540316
310.0,1019,4356.943568
235.0,1177,4427.755766
130.0,793,4474.900501
205.0,920,4529.865459
1080.0,2219,4663.420163
220.0,1488,4757.240892
310.0,1914,4874.463542
90.0,545,4906.237071
90.0,781,4953.269629
60.0,245,4968.501266
250.0,1989,5086.940393
70.0,387,5110.411645
110.0,581,5143.007362
220.0,1198,5219.359574
80.0,458,5244.119222
160.0,1318,5322.865506
175.0,989,5384.561936
310.0,1579,5479.017579
110.0,967,5541.369044
640.0,2520,5691.418995
1200.0,2786,5862.569355
920.0,3214,6058.271819
190.0,1086,6122.001181
370.0,1696,6224.182547
400.0,2386,6372.78072
325.0,3885,6608.071892
220.0,1126,6677.669027
310.0,1314,6756.224329
295.0,1904,6872.931882
640.0,1950,6990.533044
385.0,1452,7078.165727
960.0,1863,7193.905721
140.0,571,7226.253267
160.0,860,7280.126228
250.0,1280,7353.052591
150.0,670,7397.783659
60.0,452,7422.440747
205.0,1016,7484.673512
190.0,1633,7585.515428
130.0,657,7624.762031
160.0,859,7673.439468
265.0,1441,7760.052624
205.0,561,7797.420988
160.0,1918,7915.871546
310.0,1178,7986.51769
265.0,1358,8066.051795
190.0,1279,8144.052635
140.0,921,8199.208421
80.0,615,8237.548104
265.0,1513,8330.58301
160.0,955,8386.404315
100.0,559,8418.472454
340.0,1992,8542.23675
50.0,344,8559.515963
110.0,689,8604.709014
205.0,937,8661.447686
440.0,1703,8763.752248
250.0,1545,8857.517289
120.0,1219,8929.037922
175.0,981,8990.500781
280.0,2034,9115.119496
520.0,3154,9304.163784
250.0,1340,9388.744318
250.0,6839,9805.584857
340.0,2002,9924.27986
250.0,1148,9994.46766
295.0,1453,10086.502257
130.0,582,10119.003457
370.0,1923,10237.596039
205.0,1034,10300.13579
130.0,772,10347.014522
205.0,1021,10409.363607
110.0,454,10433.961795
40.0,378,10457.124532
340.0,1133,10526.900901
140.0,721,10567.524621
250.0,1376,10652.750205
160.0,1074,10716.263469
265.0,992,10777.996583
420.0,1755,10886.533219
130.0,774,10933.475376
235.0,1323,11013.764869
310.0,1227,11085.505898
140.0,672,11125.116168
90.0,608,11163.451998
205.0,1802,11272.9502
325.0,1336,11352.140288
120.0,1210,11428.930026
110.0,648,11468.023919
220.0,1573,11562.31565
780.0,1976,11680.680048
60.0,347,11703.28312
160.0,991,11759.709493
205.0,1033,11823.516457
80.0,684,11868.585541
175.0,1178,11939.451916
250.0,1243,12011.460903
190.0,1051,12079.62437
295.0,1176,12150.290287
70.0,461,12175.097825
325.0,1347,12259.754056
175.0,1183,12330.714598
175.0,1139,12400.854479
280.0,2562,12552.180739
160.0,952,12614.548715
140.0,716,12654.929624
295.0,1338,12739.508684
100.0,496,12765.081297
130.0,891,12819.556553
175.0,3650,13044.802913
140.0,606,13077.877151
220.0,3007,13264.304086
520.0,1638,13361.072888
100.0,348,13383.635158
355.0,1789,13492.787479
235.0,1416,13578.856463
205.0,1195,13649.937209
