#{"t_start": 1680587927.06657, "env_id": "NameThisGameNoFrameskip-v4"}
r,l,t
1950.0,2640,233.091679
3420.0,3646,563.437405
2050.0,2269,774.281687
2240.0,2724,1021.69926
1450.0,2171,1223.730691
1240.0,1645,1375.981239
2840.0,3901,1731.227001
3440.0,3803,2082.997125
1660.0,2271,2294.196274
1820.0,2865,2557.181582
1720.0,2799,2816.154186
2100.0,2283,3027.146339
3030.0,3805,3371.336074
1740.0,2369,3594.614933
2050.0,3275,3890.617702
2050.0,2764,4148.154453
2700.0,3326,4454.131413
1430.0,2063,4643.094328
2730.0,3240,4940.227975
3430.0,3961,5305.082642
1710.0,2329,5517.648984
2200.0,2743,5766.835047
2470.0,3138,6061.998759
2280.0,2811,6321.634756
2590.0,3263,6617.94891
1710.0,2574,6853.955169
1790.0,2398,7076.45324
2510.0,2965,7348.957415
2220.0,2701,7596.407073
2670.0,3090,7879.590729
1780.0,2504,8113.650038
1820.0,2558,8350.818614
3130.0,3214,8645.408128
2130.0,2786,8895.533887
1880.0,3054,9178.267805
2270.0,3070,9462.65013
1150.0,1839,9628.670271
2030.0,2851,9897.007257
2250.0,2654,10135.086863
1150.0,1953,10312.136533
3180.0,3668,10654.210115
2470.0,3718,10995.839024
3040.0,3842,11348.818399
790.0,1514,11489.399552
2040.0,3004,11762.012532
2140.0,2897,12033.128304
1670.0,2239,12234.923263
1610.0,2374,12457.657669
2060.0,3001,12730.641106
1710.0,2444,12955.056768
2130.0,3239,13252.518043
2210.0,2847,13512.391504
2970.0,3964,13876.822578
2870.0,3451,14196.259036
2120.0,2813,14454.887585
3000.0,4071,14831.311409
1950.0,2764,15080.486253
2340.0,2961,15362.025281
3480.0,4307,15753.409187
1750.0,2376,15976.034819
2760.0,3903,16331.427968
1340.0,2364,16547.061042
2520.0,3676,16887.733962
2360.0,2909,17157.368853
2810.0,3705,17498.739125
3930.0,4412,17902.707286
2320.0,3009,18183.406299
2260.0,2994,18455.387287
2490.0,2894,18716.359243
550.0,1119,18821.405928
2520.0,2978,19095.980844
2190.0,2671,19343.01654
2210.0,2800,19601.758494
3400.0,4100,19979.228
2050.0,2571,20216.823937
1720.0,2414,20439.801946
1880.0,2370,20653.163442
2490.0,3236,20948.501426
2970.0,3597,21280.39952
3170.0,3993,21654.455396
1610.0,2923,21916.462821
1200.0,2204,22117.778033
2700.0,3574,22450.103463
2730.0,3851,22803.816857
2660.0,3138,23095.984644
1190.0,2034,23283.721663
3240.0,4025,23651.503109
2310.0,3226,23946.951733
2510.0,3196,24241.393901
3140.0,3941,24605.487791
2790.0,3627,24938.496051
1700.0,2540,25173.312908
2020.0,2830,25432.862641
2490.0,3308,25739.448341
2360.0,2944,26012.611866
3860.0,4507,26425.786882
2780.0,3915,26781.02794
2290.0,3512,27108.284186
1910.0,2583,27346.000445
2040.0,2895,27607.897655
3020.0,3596,27937.095983
930.0,1702,28099.745722
3290.0,4085,28470.140401
1780.0,2833,28737.944687
2220.0,2849,28998.392251
2290.0,2940,29269.538679
3140.0,3646,29603.069916
1960.0,2556,29838.654301
1750.0,2639,30075.870501
2670.0,3627,30414.672226
3220.0,4029,30782.871988
1360.0,2217,30984.165393
2730.0,3363,31298.77576
1830.0,2481,31523.114426
1720.0,2626,31760.073965
1780.0,2416,31984.849536
2370.0,3452,32302.963333
3280.0,4411,32713.762414
1790.0,2705,32961.740015
3570.0,4666,33389.381329
2090.0,2654,33635.317169
1920.0,2831,33894.276942
2620.0,3533,34213.216401
1740.0,2798,34472.541925
2740.0,2975,34743.111032
1840.0,2717,34990.113462
1440.0,2174,35189.31153
3500.0,4254,35580.020421
2640.0,3390,35895.400105
2560.0,3507,36213.133433
3690.0,4415,36623.935453
2150.0,2891,36883.972766
1170.0,2253,37093.304168
2280.0,2895,37352.945675
2330.0,2897,37621.262393
3140.0,3896,37975.286396
2680.0,3737,38316.40961
2300.0,2975,38594.759156
1260.0,1808,38759.482066
1140.0,2046,38948.649367
3490.0,4284,39337.937296
2050.0,2875,39597.510779
2650.0,3067,39878.585887
2150.0,2882,40147.935339
1350.0,2219,40348.383725
1720.0,2569,40582.858166
1670.0,2219,40783.371196
2570.0,3538,41109.909925
3460.0,4254,41499.104137
1870.0,2733,41746.300589
2030.0,2705,41993.032326
2720.0,3131,42285.14939
2910.0,4112,42663.48425
1550.0,2176,42863.319499
2810.0,3484,43181.597027
1960.0,2831,43440.413263
2170.0,2801,43699.594226
4020.0,4597,44122.179603
2670.0,3362,44428.355058
3290.0,4128,44804.928338
1990.0,2899,45075.061661
2090.0,2747,45323.407939
2400.0,3159,45616.081634
4130.0,4736,46053.620321
3190.0,3932,46409.011995
2530.0,3629,46746.825129
4070.0,4822,47184.704229
3480.0,4154,47569.784183
2800.0,3545,47889.734844
860.0,1701,48043.434227
3190.0,4153,48430.866054
2980.0,4216,48818.832994
3500.0,3865,49172.846536
3210.0,3834,49526.905027
2700.0,3504,49845.433096
2430.0,3054,50126.384315
1780.0,2543,50359.762938
960.0,1584,50501.296394
4230.0,4731,50935.916277
1890.0,2913,51195.700409
3200.0,4125,51578.676061
2690.0,3250,51873.9302
3270.0,3932,52235.786689
1560.0,2312,52447.297421
1760.0,2512,52672.376813
1820.0,2271,52882.054033
2150.0,2977,53153.647451
3450.0,4196,53538.707404
860.0,2045,53725.536214
2800.0,3617,54054.161793
1960.0,2624,54291.240269
3220.0,4068,54664.94346
3430.0,4154,55040.99649
3520.0,4156,55426.586997
2720.0,3250,55720.93509
2330.0,3035,56001.513334
2330.0,2877,56261.153541
2010.0,2748,56517.580839
2030.0,3023,56791.333965
3510.0,4454,57200.993224
2430.0,2802,57458.302257
1890.0,2944,57727.886225
2640.0,3519,58047.996938
2090.0,2811,58306.106504
2730.0,3646,58636.427024
1260.0,1915,58812.108015
2780.0,3396,59128.6939
1790.0,2215,59329.300626
3220.0,3586,59657.94012
3310.0,4256,60045.785689
2300.0,3026,60326.466566
2420.0,3183,60618.672543
3530.0,4055,60983.995685
1300.0,1914,61159.284982
1520.0,2367,61381.002412
2590.0,3915,61735.028661
1820.0,2635,61979.412717
2370.0,3412,62286.36001
2380.0,3167,62579.632245
1810.0,2386,62793.28669
1630.0,2277,63003.395032
1930.0,2508,63236.179702
2390.0,2990,63506.927092
3530.0,4475,63917.705217
4060.0,5031,64375.057758
3760.0,4416,64784.700856
2490.0,3372,65090.916402
3250.0,4005,65456.325772
2490.0,3118,65739.194502
2170.0,2844,66008.022621
2050.0,2750,66256.873619
3240.0,3996,66622.74548
2580.0,2998,66892.369256
3100.0,4079,67266.218576
3630.0,4321,67663.075365
4230.0,4257,68050.632232
1810.0,2624,68295.404491
3650.0,4600,68710.713207
3900.0,4347,69109.873216
2250.0,2811,69368.165334
3050.0,3676,69708.64554
4110.0,4791,70145.145862
2090.0,3119,70436.321765
3380.0,4112,70812.841259
1410.0,2227,71013.448527
2210.0,3023,71293.298943
3860.0,4221,71673.132726
3130.0,3294,71977.989064
3760.0,4256,72365.903873
1950.0,2492,72599.147175
1610.0,2428,72822.525306
3440.0,3995,73188.599537
2570.0,3103,73471.441061
2170.0,2898,73739.921018
2010.0,3106,74022.028287
1950.0,2736,74271.044273
2200.0,2624,74507.1552
2260.0,2923,74776.369323
4110.0,4919,75232.137853
2790.0,3931,75588.246789
3190.0,3931,75951.67408
2440.0,3201,76246.203257
2500.0,3069,76528.23992
4220.0,4667,76954.389306
1980.0,2845,77213.366158
2240.0,2907,77481.924111
3160.0,4012,77848.464056
2020.0,2817,78107.10068
2270.0,3003,78386.634875
3230.0,3779,78729.404529
1530.0,2241,78940.345995
3240.0,4162,79319.031003
2210.0,2763,79568.004672
1590.0,2392,79790.515751
3720.0,4256,80180.083077
2320.0,2846,80439.36856
1640.0,1959,80624.473786
3500.0,4065,80990.993794
2420.0,2961,81262.596539
2100.0,2715,81518.040865
3230.0,3868,81871.467561
2400.0,3267,82167.337751
3480.0,4190,82555.060749
2180.0,3019,82827.77193
2560.0,3549,83156.583191
2250.0,2832,83415.914175
2860.0,4152,83803.123055
1570.0,2382,84016.501681
2210.0,2962,84287.074608
2400.0,2912,84556.353966
2830.0,3552,84885.633888
2470.0,3118,85169.25265
2410.0,3075,85451.421709
2030.0,2701,85698.365089
2080.0,2543,85933.086067
1230.0,2164,86125.937246
1900.0,2800,86384.361661
2950.0,3628,86723.113853
2350.0,3089,87005.550905
1530.0,2292,87217.266443
1800.0,2821,87467.521147
2190.0,2892,87736.13775
2360.0,3055,88017.419447
2120.0,2928,88287.182688
1660.0,2354,88501.007889
1880.0,2590,88736.683307
1220.0,2274,88947.189646
1380.0,2492,89172.015985
3190.0,4157,89560.380573
1980.0,2770,89809.835992
1770.0,2478,90042.577696
2950.0,3915,90397.41755
3870.0,4413,90799.469318
3360.0,3867,91160.546974
2100.0,2737,91408.27893
2690.0,3385,91715.029891
1620.0,2216,91924.784827
1550.0,2319,92136.849267
1750.0,2758,92385.746677
2180.0,2687,92632.387715
3330.0,4046,93007.841626
2650.0,3010,93281.894993
2840.0,3850,93635.060789
1960.0,2739,93882.71318
2850.0,3307,94187.127097
2810.0,3272,94491.523435
2200.0,2748,94739.668969
3400.0,4000,95104.355853
2450.0,3122,95396.767129
2250.0,2651,95634.09778
3950.0,4351,96034.184556
2510.0,3103,96317.747412
2180.0,2941,96589.506336
2410.0,2897,96858.99424
2060.0,2946,97129.701775
3660.0,4065,97496.340304
2140.0,3101,97788.329503
2190.0,3516,98107.518099
3140.0,3694,98447.608221
4220.0,4795,98883.738
3130.0,3723,99226.093614
2160.0,2799,99484.711492
3650.0,4273,99874.689153
1230.0,2048,100063.033208
2320.0,2945,100334.268026
2760.0,3200,100627.788375
2320.0,2798,100885.750947
2360.0,3555,101213.983024
3200.0,3956,101578.826757
2390.0,3562,101898.864953
1980.0,2812,102157.474728
3570.0,4193,102545.855452
2810.0,3833,102898.719155
1340.0,2082,103088.205495
2190.0,2927,103358.484176
2650.0,3023,103632.656142
3450.0,4042,104006.489331
1900.0,2690,104252.981892
3470.0,4013,104618.62305
3130.0,3887,104973.958287
3210.0,3935,105337.978545
1950.0,2719,105586.204635
1850.0,2882,105855.156518
1930.0,2738,106105.147196
2540.0,2972,106376.399714
1450.0,2514,106610.659685
3740.0,4730,107045.371281
3220.0,4312,107436.432361
2210.0,3249,107739.768979
2810.0,3772,108082.353072
1960.0,2684,108330.075507
3070.0,3920,108692.663925
1590.0,2446,108916.462729
1690.0,2543,109143.217599
2090.0,3042,109425.093131
3220.0,4186,109813.192311
2680.0,3203,110107.543968
3120.0,4009,110473.293629
2310.0,3081,110756.218857
3100.0,3917,111111.132083
3190.0,3885,111473.04024
1770.0,2561,111707.970285
2570.0,3119,111992.339825
3370.0,3892,112346.632727
3180.0,3961,112711.795723
2380.0,3044,112993.737669
1740.0,2721,113242.57617
3370.0,4003,113608.252882
2260.0,2764,113865.296901
2180.0,2735,114113.039538
3060.0,3892,114475.829438
3780.0,4289,114865.140601
