#{"t_start": 1680424585.3879383, "env_id": "PhoenixNoFrameskip-v4"}
r,l,t
1220.0,1035,142.483658
880.0,783,258.508409
760.0,1186,447.078043
440.0,1040,601.745598
3150.0,1870,874.366164
640.0,798,991.201008
400.0,716,1104.443703
480.0,2912,1532.187778
440.0,606,1626.507654
2180.0,861,1759.47407
2270.0,848,1878.312391
2800.0,927,2014.526155
380.0,800,2131.143053
820.0,1232,2321.467038
420.0,736,2435.102204
2510.0,2397,2785.700219
520.0,1022,2939.365102
1710.0,959,3076.476516
660.0,830,3207.806476
1940.0,799,3324.461259
480.0,813,3441.58316
540.0,867,3574.783158
240.0,527,3652.007118
400.0,702,3750.432278
460.0,589,3844.144107
2590.0,1057,3999.972304
1820.0,1138,4172.515787
1550.0,958,4309.732697
2000.0,716,4422.62779
1020.0,717,4521.849963
1420.0,897,4656.362563
600.0,604,4750.829129
930.0,1043,4905.477439
1680.0,863,5024.660066
2250.0,878,5158.399564
2000.0,1328,5352.65379
1520.0,833,5484.405021
420.0,892,5604.953768
2140.0,975,5756.612382
1350.0,796,5873.462453
2270.0,734,5987.067051
2190.0,798,6103.675411
620.0,718,6203.021549
1370.0,748,6317.184364
1890.0,876,6450.616432
540.0,673,6547.741128
440.0,739,6661.44755
2590.0,1104,6818.519374
1050.0,796,6934.900783
1130.0,701,7047.4545
3780.0,1134,7205.824105
4320.0,1552,7437.745851
580.0,577,7530.995955
1190.0,673,7628.323589
950.0,637,7724.126818
1710.0,988,7863.050347
1820.0,940,8012.988168
2440.0,974,8150.771823
440.0,751,8265.079938
2610.0,814,8382.111894
2320.0,976,8533.818039
540.0,834,8652.054232
2790.0,1361,8861.802984
200.0,738,8962.079051
2600.0,861,9095.015595
540.0,734,9208.688888
830.0,675,9306.375668
400.0,578,9385.877652
1950.0,1229,9576.061219
2110.0,978,9714.689242
980.0,848,9847.31639
280.0,594,9927.349307
3240.0,1307,10121.085997
1430.0,1182,10295.448529
1470.0,736,10409.340548
1910.0,1246,10600.539285
480.0,683,10698.148342
2260.0,1102,10855.081462
1700.0,1007,11008.107597
1960.0,876,11141.7674
1300.0,829,11259.579333
1820.0,813,11376.746957
3680.0,1057,11545.467694
2640.0,1121,11703.89327
1800.0,700,11816.180541
1900.0,992,11955.003791
1340.0,992,12107.193921
440.0,688,12205.070821
4500.0,1458,12418.82356
1830.0,1119,12590.247222
560.0,737,12704.038665
440.0,703,12802.465898
3220.0,1214,12978.102384
2150.0,800,13108.170676
2550.0,991,13246.72628
1000.0,816,13377.507076
2350.0,766,13478.614543
2650.0,1327,13686.988229
620.0,866,13806.176607
540.0,829,13937.713343
340.0,606,14018.297434
2950.0,1132,14190.22061
2030.0,978,14341.793924
1050.0,1042,14496.304993
1860.0,1245,14673.136127
2450.0,845,14805.367678
2650.0,1216,14980.927026
480.0,733,15094.488049
1370.0,894,15228.795602
1680.0,880,15348.90329
620.0,657,15445.462645
440.0,608,15540.322652
540.0,671,15637.583255
1300.0,845,15769.71715
2080.0,866,15889.088588
2590.0,943,16039.176314
2120.0,812,16156.319027
2100.0,864,16275.64689
540.0,844,16407.649763
560.0,572,16486.774735
1920.0,1100,16657.656171
480.0,770,16772.954649
1460.0,750,16873.454981
820.0,899,17008.01985
1170.0,1200,17197.032834
2370.0,812,17314.13323
1920.0,978,17452.582851
2110.0,1026,17606.512815
1580.0,845,17738.716664
740.0,704,17837.383151
1960.0,991,17989.711977
340.0,690,18087.860461
3010.0,1325,18282.149868
1440.0,846,18414.46448
1790.0,1010,18567.612058
2050.0,1083,18724.012805
2960.0,1117,18895.635313
3600.0,1084,19051.88535
540.0,687,19149.6582
380.0,1024,19303.218436
3210.0,1281,19495.876463
2740.0,1203,19671.035195
4960.0,11313,21384.342968
2590.0,898,21505.490532
1170.0,892,21639.849805
1930.0,960,21791.047181
1800.0,994,21929.888965
1030.0,736,22043.447228
1520.0,799,22159.718406
1270.0,866,22292.852405
2780.0,1009,22445.978142
3150.0,1070,22601.661205
3360.0,1182,22776.026819
380.0,492,22851.688102
960.0,898,22986.069618
3140.0,1039,23140.182575
2270.0,844,23259.109869
780.0,850,23391.376306
2250.0,963,23528.615281
3030.0,1199,23703.557493
1560.0,883,23837.350435
2260.0,878,23970.940193
2970.0,1552,24202.157149
4020.0,1244,24379.194631
1580.0,1022,24532.387418
1780.0,766,24647.295531
2000.0,1023,24800.704363
2730.0,973,24952.057459
1130.0,892,25072.258388
440.0,608,25166.982507
2900.0,893,25301.389718
2300.0,1073,25457.134426
2200.0,829,25588.887733
2130.0,929,25724.697322
1950.0,1075,25880.604984
2110.0,1023,26034.473176
1950.0,1051,26189.460211
440.0,770,26304.870989
3020.0,1117,26476.765578
1910.0,1039,26631.565101
4460.0,1330,26826.098813
580.0,703,26924.375142
2250.0,832,27056.28274
2560.0,1007,27195.43981
2980.0,1023,27348.952031
3050.0,846,27481.063494
970.0,685,27578.688515
720.0,670,27675.648331
1950.0,994,27827.857623
260.0,706,27926.617595
4650.0,879,28060.320924
1840.0,861,28193.123443
2270.0,976,28330.840818
3520.0,1122,28502.586344
2090.0,705,28601.23457
2710.0,974,28752.611878
340.0,595,28832.617043
3090.0,1104,29004.029649
4560.0,1985,29295.339437
