#{"t_start": 1680588190.562441, "env_id": "PooyanNoFrameskip-v4"}
r,l,t
335.0,781,69.291359
140.0,629,116.676947
30.0,307,147.943433
330.0,846,216.986449
355.0,811,293.534776
265.0,750,352.827481
345.0,923,432.451038
275.0,814,508.905804
150.0,561,555.146749
165.0,504,599.695407
315.0,838,668.947592
155.0,555,722.749669
370.0,809,791.304119
125.0,502,835.690551
210.0,662,892.568035
250.0,501,937.024784
140.0,481,981.101062
225.0,581,1027.70424
210.0,689,1085.316802
175.0,464,1128.729072
180.0,562,1176.245498
145.0,430,1211.139466
170.0,694,1276.384999
235.0,690,1333.913782
145.0,481,1377.759749
135.0,638,1434.002431
205.0,528,1479.308387
160.0,582,1526.150314
165.0,564,1580.40883
275.0,753,1647.371849
155.0,515,1684.563903
195.0,632,1740.448607
145.0,559,1794.295043
120.0,559,1840.531943
150.0,561,1887.048663
330.0,1159,1988.377104
150.0,465,2032.01083
270.0,870,2110.057163
210.0,558,2156.082611
355.0,580,2202.577053
540.0,767,2271.332922
180.0,633,2327.130631
85.0,444,2370.035644
100.0,497,2406.586765
400.0,771,2473.971139
360.0,652,2530.466544
175.0,533,2575.741866
190.0,643,2631.860752
140.0,569,2686.043831
455.0,538,2731.565759
160.0,413,2766.061825
155.0,401,2800.185097
310.0,691,2865.63287
325.0,591,2912.580245
230.0,602,2967.882281
175.0,500,3012.450442
515.0,997,3093.973814
405.0,571,3148.040645
270.0,684,3205.358827
145.0,620,3260.879015
165.0,694,3318.520533
775.0,796,3386.751233
230.0,636,3443.932548
485.0,533,3489.253328
550.0,616,3544.628804
150.0,369,3577.683322
125.0,537,3623.321322
610.0,645,3679.547094
840.0,1092,3771.058043
555.0,787,3846.430081
500.0,637,3894.383078
250.0,515,3939.150943
215.0,563,3993.167193
370.0,608,4040.558125
160.0,468,4083.981469
1060.0,1178,4185.519694
620.0,880,4263.354607
680.0,879,4341.331635
200.0,431,4375.932884
440.0,501,4420.412778
380.0,512,4465.175518
170.0,370,4498.339186
300.0,479,4535.76755
845.0,818,4611.954114
560.0,761,4678.959599
260.0,500,4715.626098
240.0,531,4768.878974
370.0,690,4826.462413
