#{"t_start": 1680424586.3787553, "env_id": "RiverraidNoFrameskip-v4"}
r,l,t
1470.0,764,65.186691
1380.0,691,131.46407
920.0,532,178.7229
2320.0,855,252.278586
1380.0,505,299.28838
2350.0,844,381.527392
1360.0,608,432.179928
1680.0,715,502.585788
2290.0,818,576.500411
1760.0,621,635.760095
1580.0,526,683.817023
1430.0,476,730.72497
1370.0,450,768.83428
1410.0,487,815.910995
1760.0,667,877.003974
1440.0,488,924.163322
2150.0,700,986.369957
2740.0,922,1071.400823
1350.0,484,1118.537512
1400.0,473,1157.502393
2150.0,735,1230.213233
1590.0,482,1277.110013
2000.0,611,1327.975255
1350.0,497,1375.756525
1520.0,474,1423.042542
1950.0,705,1485.025191
2610.0,842,1568.245595
1400.0,483,1607.096013
1410.0,521,1655.426428
2050.0,649,1716.14491
1720.0,551,1773.795924
1740.0,541,1822.854939
1610.0,587,1873.497236
1520.0,513,1921.771957
2030.0,693,1991.863625
1730.0,592,2042.466594
1700.0,587,2101.463574
1940.0,581,2151.677866
1490.0,454,2190.039003
2150.0,714,2261.181198
1790.0,592,2320.306603
2470.0,701,2382.742238
2230.0,642,2444.020454
2460.0,791,2517.806544
1490.0,427,2554.997587
3430.0,883,2639.341505
2050.0,725,2710.548204
1640.0,478,2749.23317
3420.0,744,2820.971961
3150.0,932,2907.072118
2130.0,571,2965.253276
1970.0,586,3016.182043
2080.0,677,3078.275796
1680.0,611,3137.672125
1500.0,623,3197.363654
1760.0,649,3257.998621
1780.0,598,3308.462669
1700.0,492,3355.819148
1810.0,590,3415.25601
1790.0,500,3454.892377
1630.0,588,3513.757873
2080.0,601,3564.639785
2010.0,567,3622.986955
2100.0,583,3675.398479
1990.0,586,3734.029195
2150.0,586,3784.533914
2330.0,565,3843.212843
2150.0,599,3894.399802
280.0,228,3917.490093
2090.0,459,3955.570345
2470.0,704,4026.821889
1450.0,496,4074.846615
2190.0,601,4125.756848
2050.0,666,4186.984528
2700.0,803,4269.666651
1680.0,515,4309.713389
1360.0,453,4356.128953
2140.0,674,4417.280681
2290.0,607,4477.292969
2110.0,651,4537.758641
1800.0,588,4588.288828
2060.0,620,4648.418959
1710.0,680,4709.915756
1620.0,598,4768.983022
1670.0,505,4817.182421
1700.0,518,4866.595802
1910.0,596,4917.085365
1960.0,587,4976.014766
2450.0,635,5036.255254
2480.0,589,5086.828532
2090.0,709,5157.652594
2260.0,713,5220.022465
2010.0,708,5282.592589
1890.0,521,5331.171719
1920.0,601,5390.138985
1860.0,623,5449.947291
1880.0,690,5511.95077
2540.0,758,5584.812149
2160.0,608,5644.588736
1640.0,533,5693.46855
1710.0,585,5743.695056
1970.0,555,5792.984422
2310.0,727,5864.395602
3120.0,744,5936.527019
1670.0,553,5986.099818
1950.0,530,6034.978319
1810.0,555,6087.508675
2180.0,554,6145.032047
2090.0,567,6195.043595
1740.0,446,6232.855853
1990.0,549,6290.95699
1550.0,447,6329.108541
1700.0,435,6366.852529
2200.0,610,6426.419254
1890.0,551,6476.07856
2130.0,617,6535.817027
2080.0,593,6586.758318
1530.0,450,6633.022294
2060.0,684,6694.687761
2210.0,619,6754.59217
1920.0,635,6815.17776
2620.0,696,6876.765021
1870.0,521,6925.401877
2510.0,584,6984.257432
1920.0,563,7034.299465
1750.0,509,7082.763402
2090.0,548,7132.475017
1750.0,447,7170.598691
2140.0,641,7231.035254
1750.0,488,7278.802701
2330.0,576,7330.058018
2680.0,735,7401.356125
2660.0,923,7487.469423
2510.0,726,7558.693503
2550.0,758,7630.724535
1940.0,512,7679.388517
2280.0,695,7741.099601
2150.0,589,7791.732625
3130.0,882,7876.052675
3060.0,827,7958.742125
1690.0,449,7996.917038
1770.0,534,8046.444643
1530.0,497,8094.228228
2340.0,714,8156.864043
2400.0,625,8217.154947
2190.0,661,8278.737189
2790.0,753,8351.279437
1890.0,517,8399.936589
1840.0,471,8447.252528
1940.0,561,8496.714071
1680.0,526,8546.278655
1550.0,446,8584.421489
2170.0,702,8655.076104
2450.0,647,8715.716868
1500.0,504,8763.948154
2650.0,700,8826.036689
1760.0,459,8864.264339
2640.0,665,8934.062978
2440.0,619,8985.5961
2250.0,522,9034.351492
1870.0,495,9082.375746
1190.0,394,9118.729223
1980.0,509,9167.50059
2130.0,574,9217.542568
2170.0,619,9277.313416
1810.0,502,9325.559746
1690.0,502,9374.0315
1830.0,459,9412.33813
990.0,334,9447.111768
1860.0,563,9496.820408
2230.0,579,9555.976887
2160.0,561,9605.931214
2060.0,608,9657.216411
1470.0,424,9702.896391
3020.0,663,9765.118038
1550.0,428,9802.399117
2270.0,619,9862.060158
2290.0,541,9911.402182
2400.0,672,9973.351073
2350.0,672,10035.22515
1820.0,585,10094.218428
2290.0,736,10158.080194
1810.0,560,10216.170598
1720.0,521,10264.704169
2570.0,706,10326.917962
2690.0,855,10410.565344
2330.0,624,10462.316228
2030.0,530,10519.769298
2120.0,553,10569.472805
1780.0,448,10607.458395
2080.0,603,10666.840948
2640.0,666,10728.922595
2400.0,732,10800.826886
2270.0,701,10863.199493
2040.0,507,10911.329631
1920.0,564,10962.350593
2140.0,711,11033.425186
2030.0,578,11083.938708
1570.0,519,11132.719798
1770.0,515,11181.563976
2230.0,643,11242.224317
1890.0,540,11291.67968
2380.0,725,11363.377346
2460.0,700,11425.933034
2100.0,589,11485.058457
2280.0,739,11548.835682
1830.0,551,11598.342705
2110.0,566,11656.335653
2250.0,684,11718.33512
2100.0,629,11778.362014
2100.0,552,11828.161565
2530.0,710,11899.520143
2810.0,720,11962.665318
2540.0,684,12024.330603
1370.0,457,12070.612719
2440.0,745,12142.654537
1640.0,480,12182.820999
2460.0,698,12252.927855
3000.0,808,12327.443337
2130.0,603,12378.483019
2290.0,582,12437.55434
2090.0,651,12498.660959
2910.0,724,12561.580743
1960.0,524,12610.23255
2160.0,693,12680.719275
2650.0,697,12742.809779
2340.0,583,12801.516983
2130.0,588,12852.48276
2070.0,594,12911.596133
2320.0,737,12974.894492
1720.0,509,13023.313372
1910.0,521,13071.95102
2880.0,911,13157.549468
2440.0,730,13229.108808
2430.0,643,13289.651643
1900.0,494,13337.4114
2730.0,836,13413.206548
2540.0,740,13485.456489
2600.0,585,13536.395205
2360.0,623,13596.636795
1860.0,492,13644.273914
2360.0,708,13707.063817
2740.0,803,13781.174328
2430.0,744,13853.387783
2430.0,740,13925.319747
2120.0,596,13976.054782
1900.0,561,14033.965332
2400.0,763,14107.147137
1580.0,465,14145.794865
1860.0,514,14194.231301
2770.0,792,14267.695379
2300.0,738,14340.008009
1820.0,537,14389.053524
1970.0,588,14439.964949
2090.0,580,14498.460331
2500.0,702,14561.440424
2110.0,584,14621.617042
2550.0,620,14681.438072
1610.0,555,14731.505131
2560.0,736,14794.749912
2480.0,696,14865.691014
2610.0,762,14938.096482
1810.0,529,14987.057169
2610.0,706,15049.984993
1700.0,499,15097.910864
1870.0,612,15157.65939
3030.0,814,15231.352088
2220.0,674,15293.059012
2140.0,603,15353.000947
2120.0,592,15403.756119
2170.0,656,15465.174253
2200.0,664,15526.443547
2200.0,636,15587.009346
2580.0,690,15657.673368
2080.0,590,15708.634844
2110.0,627,15768.405534
2440.0,586,15819.072674
2510.0,719,15890.970896
2080.0,585,15941.516982
1770.0,508,15989.986159
2090.0,527,16039.186542
2330.0,565,16097.461572
1520.0,428,16134.952952
2090.0,572,16185.23583
2910.0,796,16258.725711
2060.0,586,16317.488769
1650.0,512,16365.724113
1640.0,486,16413.668949
3570.0,826,16487.781973
2510.0,563,16537.62433
3010.0,829,16620.685018
2360.0,627,16672.85267
2430.0,719,16744.361615
3120.0,845,16819.368552
2620.0,764,16891.848465
2140.0,578,16950.579705
1870.0,575,17001.046073
2400.0,687,17064.569417
3180.0,930,17158.47843
1790.0,532,17207.589936
3160.0,821,17281.8912
2190.0,612,17341.694922
1960.0,574,17392.274097
2960.0,796,17466.390718
2570.0,740,17538.775596
2540.0,700,17601.124325
1780.0,516,17649.461531
2210.0,620,17709.866761
1750.0,503,17758.270113
2520.0,709,17821.202152
2920.0,802,17904.931835
2620.0,737,17968.71562
2580.0,681,18030.524242
2930.0,710,18101.964719
2060.0,618,18162.727405
1860.0,584,18213.015672
2630.0,716,18285.339845
2270.0,580,18335.718181
2670.0,793,18409.314279
2670.0,782,18482.626124
2600.0,793,18556.332238
2200.0,585,18615.183594
2290.0,710,18677.990483
2030.0,580,18736.70952
2170.0,682,18799.245249
2360.0,729,18870.577729
2490.0,700,18932.955151
2580.0,684,18994.84479
2490.0,703,19065.969395
2120.0,624,19117.681885
2260.0,675,19187.75044
2240.0,549,19237.633163
2200.0,672,19299.073074
2360.0,703,19361.382333
2280.0,668,19423.161484
2400.0,760,19496.081284
2480.0,735,19568.806331
2230.0,584,19619.495954
2170.0,574,19678.267312
1860.0,493,19726.041302
1940.0,591,19777.023395
2600.0,711,19848.008042
1740.0,506,19896.938205
2250.0,705,19959.439349
2330.0,610,20019.176745
2370.0,700,20081.660332
2730.0,688,20144.010171
2490.0,671,20205.501205
