#{"t_start": 1680424585.4269083, "env_id": "SolarisNoFrameskip-v4"}
r,l,t
2660.0,6236,930.777021
1560.0,7906,2126.371837
1500.0,8014,3325.315165
1360.0,5948,4229.460971
2280.0,6294,5175.448412
0.0,8856,6511.800395
1980.0,6320,7459.850682
0.0,8261,8713.305493
0.0,8236,9952.554965
640.0,8493,11229.447379
10560.0,6722,12250.663706
1600.0,4441,12910.161621
1480.0,4173,13546.598929
80.0,5534,14376.960339
2980.0,8283,15629.835224
2300.0,9167,17002.787474
0.0,9051,18371.623388
0.0,8548,19664.158404
1960.0,8754,20978.025303
1900.0,7814,22157.821985
0.0,8693,23471.494854
0.0,9134,24844.224039
0.0,9348,26254.930792
240.0,4866,26987.279292
840.0,8009,28201.754163
1320.0,8200,29437.661249
320.0,7324,30538.563792
1800.0,8125,31760.038462
960.0,6289,32707.026684
1800.0,9662,34173.150932
1500.0,8786,35491.331684
3040.0,5558,36337.77303
2840.0,5446,37152.254253
1780.0,8423,38424.427284
