#{"t_start": 1680672584.73969, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
230.0,863,83.256753
105.0,498,126.885753
425.0,709,183.932323
265.0,846,260.141977
240.0,827,328.241411
105.0,487,371.875352
135.0,481,415.379173
180.0,611,469.980411
165.0,476,505.66417
510.0,1020,594.541016
165.0,625,649.59935
180.0,458,684.801729
110.0,452,727.513665
160.0,593,781.705299
110.0,498,817.972258
430.0,1003,906.301082
80.0,379,939.328225
255.0,664,995.406195
250.0,859,1072.123986
135.0,285,1094.983956
225.0,820,1164.284959
155.0,543,1209.46976
110.0,488,1253.135225
75.0,266,1275.466465
50.0,410,1309.398298
65.0,385,1342.627044
155.0,540,1395.438456
355.0,629,1442.925967
195.0,904,1520.926032
210.0,731,1586.523354
120.0,585,1640.528905
320.0,695,1697.480002
210.0,600,1751.850704
110.0,300,1775.101195
205.0,645,1830.767328
410.0,624,1885.818246
140.0,575,1931.798988
250.0,847,2008.187885
180.0,618,2055.357989
255.0,1025,2144.284307
605.0,1195,2254.418171
185.0,615,2301.471983
135.0,535,2346.384489
140.0,525,2391.023446
95.0,272,2421.195165
150.0,612,2468.223091
50.0,369,2501.001435
110.0,590,2555.099688
185.0,558,2600.674697
180.0,621,2655.600188
225.0,627,2710.659041
170.0,713,2768.092457
210.0,637,2823.474108
535.0,1025,2912.400597
210.0,695,2969.303628
400.0,943,3056.069425
410.0,593,3102.635482
320.0,508,3146.832311
215.0,639,3202.262355
50.0,248,3224.078846
210.0,605,3270.881131
105.0,445,3313.409339
370.0,599,3369.043383
110.0,511,3405.644234
320.0,511,3449.965744
195.0,614,3504.709598
265.0,736,3570.414976
145.0,508,3614.645202
285.0,726,3672.472086
260.0,754,3738.673441
200.0,620,3793.62219
105.0,306,3817.012345
35.0,290,3839.994238
180.0,599,3894.364146
170.0,696,3951.349814
140.0,452,3994.083802
235.0,582,4040.290464
200.0,593,4094.483381
55.0,466,4137.592503
165.0,618,4184.748863
290.0,746,4250.768728
225.0,637,4306.170361
365.0,847,4382.570887
305.0,747,4440.920225
110.0,468,4485.359384
295.0,827,4553.493542
270.0,672,4617.492542
175.0,671,4673.787943
130.0,463,4709.147907
65.0,294,4732.225535
185.0,630,4787.428657
295.0,648,4843.146955
230.0,880,4920.416484
95.0,442,4962.843032
200.0,515,5007.199817
695.0,936,5085.98919
220.0,735,5143.989896
200.0,462,5186.988622
245.0,635,5242.315631
255.0,784,5309.326838
310.0,834,5377.786764
200.0,609,5432.419535
265.0,733,5498.129227
575.0,1009,5586.541977
495.0,688,5644.575261
205.0,474,5687.876899
325.0,773,5754.566757
190.0,496,5790.8024
230.0,620,5845.70441
310.0,807,5913.352941
165.0,502,5957.448085
240.0,608,6012.101281
110.0,383,6045.291314
235.0,545,6090.537264
175.0,475,6133.89822
110.0,370,6166.704358
200.0,490,6202.76138
190.0,548,6248.052605
305.0,680,6312.26709
270.0,690,6369.08192
250.0,612,6423.7546
535.0,905,6501.671614
400.0,803,6569.181212
330.0,688,6625.91284
455.0,1018,6715.890326
400.0,936,6794.649193
340.0,804,6869.835359
315.0,654,6925.639966
325.0,701,6982.716707
285.0,669,7038.920291
235.0,557,7092.124215
280.0,758,7150.738996
200.0,569,7204.320615
265.0,750,7270.391305
220.0,651,7326.159056
825.0,1019,7414.799867
180.0,509,7451.323854
220.0,523,7495.931846
355.0,680,7560.09497
85.0,286,7582.9403
420.0,910,7661.001497
500.0,674,7717.28734
325.0,593,7771.426978
230.0,645,7828.315675
85.0,283,7851.07688
665.0,1104,7941.989368
470.0,809,8017.306914
315.0,742,8075.433611
560.0,1140,8174.999984
330.0,720,8240.285626
215.0,551,8285.624189
600.0,968,8372.92746
450.0,885,8442.609081
85.0,318,8474.00839
290.0,688,8530.687389
410.0,924,8609.106489
325.0,669,8665.283641
315.0,642,8720.823932
490.0,784,8795.490012
175.0,482,8831.265645
220.0,658,8887.19852
755.0,1034,8977.545708
275.0,753,9043.665185
265.0,730,9109.141246
675.0,1112,9200.254349
675.0,1210,9309.362747
245.0,660,9365.385905
230.0,627,9420.444815
445.0,1026,9509.284673
275.0,669,9565.437845
625.0,1212,9666.911867
355.0,820,9742.525677
230.0,649,9798.159258
450.0,801,9865.538122
675.0,934,9944.174463
635.0,1305,10057.490173
320.0,666,10113.59739
550.0,1145,10213.252989
280.0,596,10267.46103
500.0,1054,10356.985309
240.0,515,10401.314721
270.0,813,10469.020453
635.0,1077,10566.887121
440.0,714,10624.299403
360.0,963,10711.398624
410.0,1009,10792.181342
360.0,839,10868.291084
85.0,289,10891.2027
355.0,806,10958.727428
335.0,646,11014.256666
460.0,861,11090.96739
380.0,689,11147.671354
385.0,921,11227.488794
530.0,1053,11324.702442
235.0,559,11370.221936
680.0,884,11447.66107
305.0,752,11513.744143
280.0,623,11561.009439
435.0,803,11636.126228
520.0,1324,11748.277518
335.0,790,11815.385334
385.0,912,11893.395452
335.0,689,11950.078597
570.0,1342,12070.418967
360.0,676,12126.763753
360.0,722,12192.039269
460.0,918,12270.253632
670.0,1121,12362.898625
455.0,923,12441.214654
500.0,772,12507.811906
255.0,613,12562.446749
455.0,893,12640.035617
645.0,1005,12728.27268
420.0,776,12794.994621
485.0,1035,12884.035634
480.0,986,12971.769822
245.0,540,13016.804363
465.0,896,13094.416793
290.0,655,13150.185889
270.0,704,13207.317224
255.0,561,13252.920525
560.0,1070,13350.560161
455.0,905,13429.7044
350.0,734,13487.615206
355.0,696,13552.202821
780.0,1225,13654.001581
195.0,527,13698.691809
230.0,556,13751.829336
715.0,1181,13852.463544
580.0,1008,13940.803534
245.0,569,13986.607826
545.0,1022,14075.305215
325.0,858,14151.883015
545.0,1071,14241.851117
290.0,634,14297.087044
425.0,773,14363.712675
235.0,862,14432.753806
260.0,788,14508.845119
675.0,769,14567.686286
460.0,806,14642.907063
405.0,778,14709.80382
500.0,1271,14820.536917
720.0,1345,14933.247808
315.0,604,14987.657247
250.0,574,15033.595483
415.0,980,15121.174739
435.0,948,15200.20625
335.0,554,15245.604745
585.0,953,15332.443296
340.0,596,15378.995562
750.0,1046,15468.326068
530.0,1129,15567.569136
570.0,704,15633.69776
250.0,610,15680.586917
405.0,915,15758.74551
330.0,683,15823.007837
220.0,526,15867.6538
580.0,658,15923.616309
340.0,687,15980.259439
555.0,1010,16068.625076
525.0,678,16125.031776
600.0,929,16203.527434
645.0,1403,16325.525915
230.0,572,16379.110662
405.0,733,16437.006518
285.0,613,16491.700522
450.0,693,16548.523911
440.0,950,16635.333077
400.0,688,16692.056704
245.0,613,16748.004611
300.0,673,16804.318808
465.0,995,16892.285018
725.0,930,16970.845952
160.0,573,17016.749098
915.0,1050,17106.19071
765.0,1519,17238.965998
255.0,653,17294.697433
570.0,695,17359.228914
695.0,981,17439.136063
415.0,689,17503.498741
300.0,661,17559.490387
555.0,1104,17650.385988
150.0,422,17692.227486
450.0,835,17760.522963
635.0,995,17849.794027
300.0,644,17905.281034
295.0,676,17961.643626
705.0,908,18039.626016
345.0,682,18096.131776
305.0,596,18150.327247
295.0,574,18196.248246
710.0,929,18274.734464
380.0,703,18339.538592
315.0,744,18405.474902
210.0,519,18450.001627
280.0,613,18496.990059
315.0,585,18550.902184
675.0,872,18627.871966
225.0,567,18673.625258
355.0,707,18730.812425
295.0,606,18785.321677
445.0,778,18852.112036
450.0,761,18918.414183
570.0,1314,19031.619962
355.0,658,19087.56307
500.0,1004,19175.789937
245.0,562,19221.37915
400.0,682,19285.746841
420.0,761,19352.046854
450.0,931,19430.643862
575.0,1039,19519.807363
300.0,541,19564.87992
460.0,973,19652.256405
410.0,662,19708.231485
185.0,500,19752.168122
310.0,728,19809.929097
535.0,709,19874.850718
485.0,910,19952.821412
445.0,923,20031.302803
285.0,685,20089.174302
375.0,825,20157.137394
470.0,862,20233.85341
590.0,747,20299.828508
530.0,1091,20390.28907
425.0,836,20466.338438
330.0,756,20532.545363
385.0,752,20598.621959
340.0,715,20656.052234
500.0,698,20712.987305
585.0,1178,20821.257501
335.0,766,20887.722973
545.0,1228,20989.661028
235.0,560,21035.225024
250.0,559,21088.420153
530.0,924,21166.787772
780.0,830,21236.221372
370.0,678,21292.660133
580.0,1253,21402.940172
305.0,596,21457.12834
435.0,975,21536.860083
225.0,535,21581.742449
655.0,1203,21690.643746
330.0,712,21747.947906
340.0,764,21814.336271
560.0,722,21879.623886
580.0,827,21947.68043
485.0,593,22001.783403
345.0,773,22068.428281
270.0,677,22124.824889
170.0,488,22168.450396
385.0,854,22237.21897
520.0,1224,22347.997658
190.0,552,22393.362097
335.0,614,22448.044028
415.0,806,22515.581586
580.0,1117,22614.535429
660.0,899,22692.258716
370.0,799,22759.586741
570.0,1054,22849.218429
390.0,641,22904.664724
490.0,999,22992.69055
770.0,1154,23092.519101
485.0,854,23161.431788
370.0,896,23239.048378
390.0,722,23304.334244
130.0,409,23338.177221
465.0,991,23427.456146
215.0,444,23462.231536
535.0,723,23527.561132
625.0,907,23605.491009
415.0,648,23661.087748
380.0,877,23730.518049
205.0,496,23774.350516
470.0,908,23852.300742
265.0,630,23907.392963
505.0,847,23983.719328
870.0,855,24052.64545
375.0,760,24118.94338
500.0,889,24196.340694
375.0,653,24252.078565
265.0,575,24305.698182
275.0,642,24353.479604
305.0,582,24407.301675
795.0,823,24475.365539
580.0,1005,24564.896693
675.0,1086,24663.008853
660.0,1319,24774.984698
105.0,391,24808.29986
