#{"t_start": 1680424590.696683, "env_id": "CarnivalNoFrameskip-v4"}
r,l,t
900.0,369,36.321959
480.0,400,70.475346
300.0,380,104.624326
420.0,378,138.69382
780.0,385,172.894491
580.0,447,216.881974
620.0,337,242.083949
1000.0,748,309.986413
960.0,423,353.327331
460.0,336,378.57327
1020.0,327,411.055449
1680.0,313,435.391081
1040.0,366,469.395627
540.0,467,513.883061
480.0,318,538.327427
1360.0,294,562.337706
460.0,412,604.869778
480.0,315,629.489323
620.0,355,662.928802
820.0,436,698.576808
420.0,369,732.233188
540.0,302,756.498132
420.0,324,788.732552
1720.0,440,824.710257
340.0,332,857.319669
440.0,318,881.64982
680.0,455,925.168531
200.0,481,969.928358
1040.0,370,1003.486855
440.0,306,1027.438545
1740.0,466,1071.591163
120.0,373,1097.511332
860.0,770,1167.16196
840.0,443,1210.620772
500.0,472,1255.134315
540.0,350,1280.479622
340.0,382,1314.552209
620.0,531,1360.456512
480.0,346,1393.808448
680.0,409,1428.812931
980.0,611,1485.137477
380.0,337,1517.964632
540.0,514,1563.813071
1000.0,508,1609.407568
440.0,346,1634.926003
480.0,453,1678.834303
480.0,339,1703.9931
420.0,381,1738.051724
360.0,337,1771.057927
920.0,426,1806.444518
1120.0,460,1850.59153
360.0,721,1909.978112
260.0,626,1966.494304
560.0,308,1998.544728
380.0,381,2032.509233
540.0,534,2078.635324
280.0,317,2102.889922
620.0,458,2146.729507
340.0,306,2171.061554
920.0,459,2215.003219
760.0,388,2249.188953
1400.0,781,2319.045616
540.0,389,2353.400379
900.0,480,2398.02427
680.0,339,2423.207839
400.0,288,2454.501988
140.0,447,2490.615426
1040.0,453,2534.682367
1340.0,616,2583.280734
740.0,363,2617.058959
380.0,377,2651.027437
360.0,288,2674.830509
1040.0,456,2718.712621
360.0,434,2754.389522
400.0,402,2789.255296
480.0,384,2823.221131
660.0,400,2858.060233
560.0,484,2903.165082
340.0,356,2936.425373
500.0,457,2980.789945
480.0,303,3005.08918
620.0,400,3040.122378
840.0,457,3084.421928
480.0,437,3120.589154
640.0,376,3154.706029
800.0,480,3199.712102
480.0,426,3235.620176
580.0,283,3259.292283
420.0,458,3303.724406
1180.0,446,3339.822683
480.0,368,3373.894362
1200.0,505,3419.518631
180.0,377,3455.330647
540.0,482,3500.41149
160.0,309,3524.770908
1040.0,476,3569.524382
400.0,316,3594.447321
500.0,458,3638.869392
580.0,505,3684.562061
460.0,369,3718.744667
440.0,359,3744.687631
640.0,364,3778.490819
880.0,445,3822.565757
340.0,491,3860.13004
760.0,477,3904.806615
420.0,348,3937.924679
500.0,468,3982.567225
960.0,386,4016.999271
460.0,335,4042.287803
620.0,455,4086.417584
740.0,491,4123.81828
1040.0,382,4158.15008
720.0,450,4202.139678
1100.0,579,4249.820894
780.0,426,4293.158598
1680.0,468,4330.148322
1120.0,417,4373.278252
1100.0,330,4398.519295
760.0,627,4455.740155
1780.0,471,4500.568405
660.0,410,4535.686941
980.0,442,4571.977989
640.0,471,4618.671832
620.0,390,4653.204187
660.0,490,4698.420523
800.0,455,4734.572582
640.0,483,4779.526857
480.0,392,4814.095999
1760.0,516,4859.75033
580.0,492,4905.126343
200.0,329,4938.039606
520.0,458,4974.448668
500.0,349,5007.974598
700.0,464,5052.192645
340.0,392,5086.78625
1020.0,444,5122.826944
600.0,484,5167.531975
840.0,315,5192.440419
800.0,507,5238.133344
420.0,399,5272.890072
1180.0,451,5316.948626
560.0,343,5341.983109
360.0,313,5374.383937
480.0,421,5409.670574
540.0,371,5443.382743
820.0,425,5478.679903
480.0,426,5521.785367
2240.0,449,5557.887234
700.0,388,5592.000402
540.0,476,5636.610203
600.0,467,5673.091739
500.0,363,5706.684076
540.0,420,5751.336976
580.0,429,5786.793108
540.0,300,5810.740925
340.0,294,5842.288632
480.0,350,5868.06801
480.0,343,5900.937019
540.0,442,5937.112525
440.0,339,5969.962366
540.0,452,6006.366444
480.0,456,6050.489981
520.0,380,6084.751818
460.0,434,6120.490514
480.0,408,6163.447112
420.0,389,6197.922313
400.0,294,6221.754625
460.0,497,6267.295812
400.0,378,6301.634201
440.0,363,6327.82804
640.0,337,6360.911763
400.0,386,6395.186884
520.0,407,6430.312347
500.0,492,6475.689152
580.0,410,6510.791267
580.0,291,6542.671134
580.0,482,6579.857774
320.0,409,6615.093342
800.0,410,6657.85148
580.0,424,6693.181448
520.0,377,6727.539911
480.0,382,6761.70518
580.0,282,6785.421718
720.0,495,6830.562206
1060.0,894,6912.651999
400.0,436,6948.116771
540.0,392,6982.776968
500.0,378,7016.972525
840.0,454,7060.91338
500.0,439,7097.025826
580.0,417,7132.348859
820.0,454,7176.271325
0.0,439,7212.44845
460.0,357,7245.80091
520.0,431,7281.394141
620.0,411,7323.996533
700.0,459,7360.474834
660.0,480,7405.375559
500.0,329,7437.981544
60.0,286,7461.769451
420.0,520,7507.629769
400.0,300,7531.989247
480.0,429,7567.362011
560.0,379,7601.356929
700.0,416,7644.38386
800.0,360,7670.101276
540.0,435,7713.670954
540.0,477,7758.560422
980.0,463,7795.181424
1700.0,588,7851.064238
720.0,456,7887.564191
580.0,495,7932.561764
700.0,472,7977.036031
980.0,485,8022.2264
500.0,421,8064.495674
160.0,357,8097.86925
460.0,342,8123.334666
560.0,467,8167.649357
680.0,459,8204.223429
400.0,303,8235.947623
500.0,350,8269.402641
220.0,419,8304.614415
800.0,391,8339.049625
700.0,341,8364.320883
1060.0,416,8407.081234
420.0,426,8442.772582
760.0,405,8477.641176
1820.0,492,8522.915224
380.0,302,8547.050706
580.0,520,8593.126378
640.0,513,8639.033355
680.0,355,8672.651763
0.0,452,8716.400043
420.0,439,8752.337039
80.0,421,8787.556277
420.0,348,8820.843251
900.0,487,8865.830353
500.0,344,8898.90609
140.0,397,8933.689983
520.0,426,8969.15213
1000.0,470,9013.979104
500.0,436,9050.071319
520.0,416,9085.236999
440.0,351,9118.51271
500.0,334,9151.398688
960.0,464,9188.338283
700.0,459,9234.399708
620.0,338,9259.604017
500.0,299,9291.44571
440.0,323,9316.279957
720.0,518,9362.369935
480.0,296,9386.235195
500.0,307,9418.409279
440.0,350,9451.615132
840.0,643,9509.072583
500.0,289,9532.995343
680.0,596,9581.201626
480.0,409,9624.087756
840.0,593,9671.825011
360.0,399,9706.345301
420.0,397,9741.301966
760.0,428,9784.633834
400.0,345,9809.825413
440.0,461,9854.217992
460.0,423,9889.516148
840.0,458,9933.84361
620.0,455,9970.358258
880.0,434,10013.493012
800.0,317,10038.196079
500.0,398,10072.663598
420.0,438,10116.250215
880.0,504,10161.714679
1400.0,386,10195.765568
880.0,480,10232.850773
440.0,286,10264.269581
720.0,303,10288.52021
500.0,301,10312.546024
460.0,295,10345.828799
860.0,422,10380.920237
760.0,384,10415.447727
960.0,470,10459.766798
460.0,351,10485.267194
420.0,283,10508.819787
740.0,279,10540.267907
520.0,450,10576.499053
1480.0,402,10611.072468
500.0,324,10643.852157
900.0,451,10680.110028
880.0,343,10713.264151
740.0,420,10748.490685
740.0,427,10791.84162
600.0,353,10817.335535
500.0,282,10841.00536
720.0,415,10883.800558
540.0,408,10918.661271
540.0,338,10943.966185
1040.0,530,10997.970463
580.0,424,11033.098534
480.0,364,11066.746874
560.0,464,11103.306114
740.0,459,11147.548288
700.0,504,11193.170558
480.0,345,11226.364844
520.0,417,11261.833725
460.0,286,11285.635185
520.0,431,11321.548484
540.0,433,11364.879755
520.0,423,11400.521898
480.0,434,11436.378711
