#{"t_start": 1680424590.689161, "env_id": "NameThisGameNoFrameskip-v4"}
r,l,t
1190.0,1851,172.394205
2990.0,3109,448.832091
1990.0,2199,644.847325
2200.0,2143,838.905606
2480.0,2672,1079.969831
1060.0,1399,1207.346249
1830.0,2062,1392.481528
2280.0,2457,1611.738315
1730.0,1959,1784.854075
1620.0,2044,1968.358607
2280.0,2712,2210.61522
1900.0,2240,2410.390776
1990.0,2309,2617.732062
1630.0,1998,2800.835775
3620.0,3307,3099.965833
910.0,1263,3215.162122
3170.0,2990,3483.983578
3110.0,2701,3726.703505
1300.0,1664,3876.695319
3730.0,3816,4220.894501
2980.0,2955,4485.71544
3420.0,3403,4787.752964
5100.0,4373,5180.508207
2080.0,2494,5409.772756
2780.0,2799,5654.462047
2000.0,1935,5837.275473
1690.0,1821,5999.344367
1940.0,2159,6195.479798
4140.0,4034,6556.154175
2500.0,2734,6799.810923
3960.0,3855,7146.681665
4350.0,4095,7514.11168
3750.0,3513,7833.991419
2380.0,2475,8053.698615
3100.0,2941,8320.106855
3310.0,3326,8619.223883
3910.0,3686,8944.149456
1110.0,1569,9090.896095
4500.0,3967,9448.229823
3300.0,2863,9702.918317
2420.0,2658,9944.77792
3510.0,3767,10280.048212
2830.0,2672,10522.674351
2920.0,2764,10766.297598
4610.0,4224,11146.649858
3320.0,3226,11437.497638
4390.0,4153,11818.041777
3260.0,3356,12118.720301
4250.0,3960,12477.01965
2350.0,2332,12686.35803
2620.0,2540,12918.693933
2170.0,2391,13129.241471
3830.0,3701,13463.796047
4580.0,4065,13832.860474
3600.0,3512,14147.092997
4290.0,3701,14480.914907
2480.0,2613,14713.03967
4500.0,3848,15060.267169
4070.0,3515,15381.273735
2760.0,2730,15624.994216
1910.0,2025,15809.626817
2670.0,2907,16073.468647
4490.0,3981,16433.242783
3500.0,3278,16724.195617
2780.0,2802,16978.026038
3060.0,2617,17209.532432
2840.0,2791,17462.963165
4180.0,3833,17808.4585
3460.0,3041,18084.67105
4400.0,4058,18444.972055
3700.0,3791,18790.713011
4380.0,4313,19181.191808
4070.0,3609,19504.431112
2350.0,2592,19736.747597
5320.0,4549,20142.935017
5230.0,4162,20522.314255
4400.0,4043,20884.685446
5330.0,4508,21290.622231
5430.0,4479,21694.390756
2910.0,2943,21960.63991
4080.0,3392,22272.23662
4140.0,3594,22596.138249
3600.0,3659,22922.355123
3120.0,2779,23178.042588
4650.0,4379,23572.73678
4540.0,3984,23933.142807
3970.0,3452,24246.010199
5280.0,4258,24631.447521
5030.0,4698,25059.350461
4370.0,3581,25383.778358
4660.0,3907,25733.758147
5030.0,4409,26136.391233
4830.0,4478,26541.387646
3140.0,3038,26811.472075
4740.0,4087,27182.400992
2810.0,2608,27415.133415
2010.0,2117,27609.901033
2670.0,2747,27855.754398
4580.0,4064,28223.79534
4180.0,3710,28557.854542
5160.0,4355,28952.081452
2990.0,2750,29195.981123
4030.0,3753,29539.09549
4150.0,3757,29875.399118
5610.0,4288,30260.726109
4390.0,4013,30636.313012
4710.0,4059,30999.022431
3140.0,3056,31274.974757
4660.0,4221,31652.952859
2540.0,2753,31895.666246
5180.0,4476,32298.538534
4160.0,4165,32678.278242
3040.0,3068,32955.179953
5260.0,4387,33347.012679
3990.0,3777,33683.625933
4560.0,4073,34050.777488
4850.0,4153,34420.424896
6160.0,5458,34915.482478
4360.0,3919,35269.464066
5380.0,4483,35671.870894
6080.0,4886,36111.178199
3890.0,3131,36389.211919
4510.0,4284,36771.092305
5670.0,4759,37208.721067
5340.0,4548,37613.774155
5060.0,4653,38029.372604
4400.0,3726,38364.294642
4370.0,3886,38718.393875
3020.0,2939,38982.430108
4670.0,4390,39375.088937
5430.0,4545,39777.445795
5270.0,4701,40200.181506
5230.0,4437,40601.852314
2890.0,2735,40844.397428
5320.0,4594,41256.55067
4230.0,3882,41601.438453
2950.0,2802,41855.501312
2040.0,2032,42038.879989
6480.0,5052,42490.723062
4370.0,3814,42836.884499
4370.0,3870,43182.939555
2560.0,2463,43402.978471
4300.0,3654,43734.538221
4950.0,4289,44116.085725
5310.0,4430,44516.933324
4840.0,4098,44878.232368
3170.0,2799,45131.20621
4710.0,3895,45485.117102
4240.0,3659,45808.456168
3030.0,2556,46037.078209
5480.0,4601,46451.714266
5080.0,4546,46855.910108
2430.0,2481,47083.727147
4550.0,3895,47431.746737
4570.0,4287,47823.038943
2560.0,2624,48054.107749
3140.0,2879,48309.18596
3930.0,3773,48654.618398
3760.0,3566,48977.095276
3990.0,3694,49302.614443
2280.0,2330,49517.247424
5280.0,4477,49914.339156
4510.0,4090,50281.093012
4950.0,4540,50691.866877
5030.0,4278,51073.494077
2530.0,2638,51313.547643
4980.0,4413,51706.370501
6220.0,5116,52165.746669
4030.0,3873,52510.261536
2810.0,2737,52761.060565
3650.0,3246,53049.539008
3300.0,2700,53291.802694
4330.0,3866,53637.058681
4300.0,3833,53980.325487
5220.0,4799,54407.599311
4950.0,4059,54775.451237
3200.0,2960,55041.527343
3730.0,3290,55340.816983
3040.0,2702,55584.461928
