#{"t_start": 1680424588.496762, "env_id": "AssaultNoFrameskip-v4"}
r,l,t
273.0,567,57.250073
315.0,554,103.767557
189.0,581,158.813096
189.0,478,195.446731
294.0,714,262.377158
231.0,667,319.622122
273.0,536,365.796664
294.0,755,433.334234
252.0,706,492.20252
315.0,633,548.942952
441.0,843,626.659331
210.0,515,664.248194
273.0,691,729.952906
399.0,683,787.699166
357.0,595,843.063184
252.0,689,900.711562
420.0,865,979.225725
336.0,683,1037.140114
189.0,610,1085.592372
378.0,701,1151.693886
441.0,889,1232.590121
252.0,798,1302.034415
399.0,651,1359.150779
357.0,674,1417.209689
504.0,905,1497.349913
252.0,767,1565.868578
462.0,910,1646.047313
294.0,561,1692.835181
441.0,760,1760.97599
378.0,552,1807.27374
273.0,639,1863.954158
315.0,559,1918.249857
252.0,590,1965.726593
567.0,970,2055.249756
378.0,700,2113.452075
483.0,843,2183.580511
504.0,781,2251.798704
378.0,904,2332.829002
378.0,636,2389.910664
567.0,728,2457.050547
462.0,669,2514.863961
399.0,763,2583.276857
441.0,601,2639.046869
231.0,624,2687.730289
357.0,592,2743.244177
630.0,973,2824.986542
399.0,598,2880.630443
294.0,484,2925.41196
273.0,615,2973.996391
336.0,456,3017.930519
336.0,482,3062.69478
546.0,732,3122.766406
378.0,452,3166.640729
441.0,544,3213.422208
399.0,705,3272.658285
525.0,827,3350.677038
378.0,528,3396.934599
483.0,697,3457.321934
546.0,699,3516.171321
273.0,505,3561.564387
420.0,627,3618.629023
399.0,637,3675.78482
504.0,693,3734.501703
252.0,517,3780.245174
189.0,449,3824.204052
315.0,476,3861.073576
399.0,654,3918.272081
294.0,566,3973.313417
420.0,576,4020.676925
189.0,246,4043.007878
294.0,428,4078.332
336.0,542,4124.703706
420.0,631,4181.459033
357.0,618,4237.963665
420.0,732,4297.869567
441.0,730,4365.506483
399.0,857,4444.641053
399.0,801,4514.654301
525.0,746,4582.687566
420.0,520,4630.455345
399.0,689,4688.83774
336.0,667,4746.435802
483.0,917,4826.887324
420.0,717,4894.077422
168.0,319,4918.473027
357.0,692,4976.942656
378.0,772,5045.644159
420.0,731,5112.945281
483.0,738,5180.244616
273.0,547,5226.839674
357.0,653,5284.281611
252.0,508,5329.650013
189.0,285,5352.858099
189.0,350,5378.423251
294.0,578,5433.413679
273.0,510,5478.395972
441.0,690,5536.520285
420.0,562,5583.068116
399.0,574,5637.947234
588.0,761,5705.844447
420.0,650,5764.575584
441.0,559,5811.286156
462.0,677,5869.235533
399.0,533,5915.413105
441.0,609,5971.248924
483.0,604,6027.328708
588.0,684,6085.747813
441.0,712,6144.884295
588.0,689,6211.166236
420.0,524,6257.198073
294.0,517,6295.308798
441.0,740,6363.251695
315.0,466,6407.441226
252.0,361,6433.155317
231.0,341,6466.078584
399.0,690,6524.730531
399.0,680,6590.79244
336.0,484,6627.787736
315.0,506,6673.017788
357.0,569,6728.08063
399.0,607,6776.358053
315.0,525,6822.188443
420.0,706,6888.791679
357.0,654,6948.037943
357.0,524,6994.06022
357.0,640,7051.044913
420.0,613,7099.478008
273.0,453,7143.249785
525.0,689,7201.5928
357.0,516,7247.185239
462.0,650,7304.210031
462.0,653,7361.451988
504.0,784,7430.378623
420.0,682,7488.464717
546.0,725,7555.578426
441.0,567,7602.653709
441.0,609,7658.692983
189.0,320,7682.896071
378.0,508,7728.32525
294.0,556,7775.517386
399.0,684,7841.678277
252.0,448,7877.538073
357.0,597,7933.19977
441.0,766,8001.437446
399.0,473,8038.24514
546.0,828,8122.609535
546.0,870,8193.998006
483.0,747,8261.599308
336.0,413,8296.339767
567.0,782,8364.989073
189.0,364,8398.453357
336.0,497,8443.515136
462.0,617,8492.187331
504.0,800,8568.985598
462.0,758,8629.4417
441.0,638,8686.656052
399.0,824,8764.120598
483.0,966,8845.764817
399.0,678,8903.90896
189.0,667,8961.758551
546.0,834,9040.420009
672.0,994,9130.891731
588.0,1139,9227.349681
378.0,616,9283.544653
462.0,842,9361.777726
399.0,769,9430.467019
420.0,508,9467.910701
588.0,768,9536.472543
357.0,536,9582.596575
651.0,836,9660.746318
357.0,508,9705.762342
483.0,804,9775.578419
399.0,696,9833.962737
252.0,620,9890.270114
378.0,606,9946.206917
483.0,1067,10038.542178
315.0,505,10083.63248
294.0,589,10131.117642
483.0,1209,10243.074052
378.0,636,10299.789426
420.0,909,10381.013335
420.0,818,10450.853417
588.0,980,10533.433225
462.0,867,10612.244152
609.0,930,10692.975524
420.0,730,10760.165932
252.0,481,10804.576017
546.0,882,10875.936995
357.0,598,10931.322525
399.0,576,10978.700668
294.0,732,11045.741114
399.0,768,11114.266761
588.0,1044,11206.487042
357.0,734,11274.145862
441.0,629,11331.083906
252.0,753,11391.35446
273.0,374,11425.18591
189.0,676,11483.067069
462.0,737,11551.761289
315.0,488,11596.524727
399.0,546,11642.981022
189.0,545,11689.408544
210.0,417,11724.296437
357.0,572,11779.370041
189.0,383,11813.06974
357.0,514,11858.478788
210.0,508,11896.102608
336.0,557,11950.537616
483.0,576,11997.836124
420.0,542,12044.039341
399.0,553,12090.646992
441.0,612,12146.663634
420.0,580,12202.113111
567.0,723,12261.233553
420.0,548,12307.992826
630.0,873,12387.652344
420.0,671,12445.679603
189.0,390,12480.052134
399.0,638,12537.113337
441.0,743,12605.000882
399.0,539,12653.600769
399.0,695,12712.443494
588.0,735,12780.178797
399.0,498,12825.296899
189.0,315,12849.624377
546.0,703,12915.990047
441.0,645,12965.434294
294.0,645,13022.123274
462.0,560,13076.640218
483.0,673,13134.137917
462.0,687,13192.110128
378.0,637,13248.928693
504.0,545,13295.180597
189.0,347,13327.952505
231.0,374,13361.863692
567.0,686,13420.012636
378.0,598,13475.596153
357.0,547,13522.20221
420.0,600,13570.48127
357.0,541,13624.555398
399.0,607,13673.176688
210.0,518,13719.047929
378.0,611,13774.96416
252.0,488,13821.119876
189.0,461,13857.413574
420.0,681,13915.552413
630.0,697,13982.224922
399.0,645,14039.36267
441.0,638,14088.713484
399.0,628,14145.469817
357.0,451,14189.438803
357.0,487,14226.462348
462.0,577,14281.7809
378.0,549,14328.592016
294.0,480,14373.256258
315.0,620,14429.687478
420.0,584,14477.511695
420.0,599,14533.244122
504.0,645,14590.395542
420.0,551,14636.985858
336.0,471,14673.232239
420.0,654,14730.686198
462.0,618,14786.978424
336.0,596,14842.305792
441.0,562,14889.003297
462.0,718,14956.9774
336.0,469,14993.176706
231.0,381,15026.936517
420.0,743,15094.579188
273.0,540,15140.519475
210.0,470,15176.948096
336.0,507,15222.48455
357.0,583,15277.629376
315.0,506,15322.8951
336.0,482,15359.949984
210.0,556,15414.541935
399.0,706,15473.557755
399.0,674,15531.681938
483.0,660,15589.093215
315.0,646,15646.261669
210.0,371,15680.088207
399.0,737,15747.537741
483.0,670,15805.216435
378.0,627,15861.740644
399.0,503,15906.43043
420.0,674,15963.871956
462.0,751,16023.702138
420.0,684,16090.584372
567.0,768,16158.833658
441.0,677,16216.96488
504.0,658,16274.356987
441.0,716,16333.590493
399.0,661,16391.07891
357.0,499,16436.403333
525.0,706,16502.933147
483.0,673,16561.006899
504.0,736,16628.590008
252.0,483,16665.537966
252.0,497,16710.381001
252.0,511,16755.842719
462.0,610,16812.050788
378.0,497,16849.543972
462.0,574,16904.754072
399.0,486,16949.443208
189.0,349,16974.845017
378.0,660,17032.420837
420.0,536,17078.630016
252.0,406,17113.409217
252.0,498,17158.503767
399.0,628,17215.413964
315.0,533,17262.47932
462.0,673,17320.497263
378.0,611,17376.515398
378.0,561,17423.695575
504.0,686,17489.952867
231.0,425,17525.483394
441.0,702,17584.340961
504.0,679,17642.426396
294.0,512,17687.891693
525.0,781,17756.901453
483.0,608,17812.799414
273.0,484,17857.329182
399.0,532,17903.369751
462.0,577,17950.896128
315.0,529,17996.496509
399.0,643,18053.517014
420.0,616,18109.703049
378.0,626,18165.831788
378.0,595,18213.628927
336.0,504,18258.828281
315.0,516,18304.14578
441.0,664,18361.87932
588.0,700,18429.206394
336.0,549,18475.596416
273.0,476,18512.348947
294.0,444,18555.709042
399.0,626,18612.304519
294.0,586,18659.9602
420.0,511,18705.512465
399.0,496,18750.938375
441.0,653,18807.989087
357.0,609,18856.463868
420.0,580,18911.574892
231.0,435,18947.319731
231.0,444,18990.732679
378.0,514,19036.214273
483.0,729,19095.70695
441.0,542,19142.479458
