uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param2,Run1,Run2,Run3,,There should be another similar sheet on excel or google sheets. Find it  and seggregate it
t1r7evat,,,,,,,,,,,,,
4wh8ley3,,,,,,,,,,,,,
oue0bwe4,,,,,,,,,,,,,
eprsvp6w,,,,,,,,,,,,,
solopra4,DemonAttackNoFrameskip-v4,None,1CHAN,E2E,,,,,**,1.a_DemonAttackNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_11_15_10_22,1.a_DemonAttackNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_17_13_24_25,,
dfg2qm71,DemonAttackNoFrameskip-v4,,4STACK,,,,,,,,,,
n886r9za,DemonAttackNoFrameskip-v4,None,1CHAN,Random,,,,,1.a_DemonAttackNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_14_19_15_21,1.a_DemonAttackNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_17_13_24_03,1.a_DemonAttackNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_17_18_27_30,,
90xck323,DemonAttackNoFrameskip-v4,,4STACK,,,,,,,,,,
848u61ad,DemonAttackNoFrameskip-v4,SpaceDemo,,VEP,Triplet,,,,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_17_10_36_52,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_17_14_35_12,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_14_30_06,,
iojfpofs,DemonAttackNoFrameskip-v4,SpaceDemo,,VEP,,2,-1,2,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2_nsame_triplet_32_2_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_01_28_19_39_31,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2_nsame_triplet_32_2_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_01_28_19_39_49,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_-1.0_2_nsame_triplet_32_2_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_01_29_14_51_15,,
