uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param3,Batch size,nepoch,Run1,Run2,Run3,There should be another similar sheet on excel or google sheets. Find it  and seggregate it,
evpjadin,,,,,,,,,,,,,,,
9m0t1qhq,,,,,,,,,,,,,,,
e4af382i,,,,,,,,,,,,,,,
2uhfodd8,,,,,,,,,,,,,,,
yyoxbxj6,Union_Square,,1CHAN,E2E,,,,,,,1.a_Union_Square_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_00_52_13,1.a_Union_Square_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_01_18_21,1.a_Union_Square_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_09_31_30,,#
8pdrvuxj,Union_Square,,4STACK,,,,,,,,,,,,
0t1wtttb,Union_Square,,1CHAN,Random,,,,,,,1.a_Union_Square_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_09_38_33,1.a_Union_Square_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_1.0_4stack/24_01_15_20_00_34,1.a_Union_Square_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_1.0_4stack/24_01_15_22_35_40,,
t7xjoct2,Union_Square,,4STACK,,,,,,,,,,,,
czsiddeq,Union_Square,UnionWall,,VEP,Triplet,,,,,,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_09_13_19_54,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_02_00_30,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_01_26_24,,
93y95vyz,Union_Square,,,,InfoMAX,,,,,,,,,,
qoz74gg2,Union_Square,,,,NCE,,,,,,,,,,
cb4xgbd0,Union_Square,,,,,,,,,,,,,,
m5nxf6a4,Union_Square,,,TCN,,,,,,,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_09_31_54,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_15_15_11,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_19_03_42,,
8pam9mw5,Union_Square,,,TCN,,,,,64,2,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_64_0_0.0001_2.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_21_22_06,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_64_0_0.0001_2.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_21_22_12,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_64_0_0.0001_2.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_21_22_26,,
v3kogfup,Union_Square,,,,,,,,,,,,,,
67p0p9lw,Union_Square,,,VIP,,,,,,,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_04_16_27,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_08_36_14,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4stack/24_01_15_19_54_56,,
can0wj19,Union_Square,,,,,,,,,,,,,,
0xg37g99,Union_Square,,,,,,,,,,,,,,
omhvtkzv,Union_Square,,,SOM,,0.1,,,,,1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.1_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_18_18_00,1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.1_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_21_52_29,1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.1_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_21_53_03,,
cx70geg3,Union_Square,,,,,,,,,,,,,,
qt50cntn,Union_Square,,,VAE,,,,,,,,,,,
k3ioye93,Union_Square,,,,,,,,,,,,,,
nwy4s5jm,Union_Square,AllUnionWall,,VEP,Triplet,,,,,,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_18_12_03_59,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_19_01_16_02,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_19_05_43_08,,
c1cdfmrv,Union_Square,,,,,,,,,,,,,,
0wbe4uju,Union_Square,,,TCN,,,,,64,,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_07_04_32,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_10_18_54,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_13_49_43,,
2cyc69hg,Union_Square,,,,,,,,,,,,,,
